V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
6.6,0.36,0.52,,0.05,,140.0,,3.07,0.4,,3
6.15,0.21,,,0.021,20.0,80.0,0.99076,,,12.0,3
6.5,0.18,0.41,,0.039,47.0,,0.99678,3.28,0.72,,5
,0.18,0.41,14.2,0.039,47.0,129.0,,,,,
,,,14.2,,47.0,129.0,0.99678,,,10.3,
6.6,0.26,0.21,2.9,0.026,48.0,126.0,0.99089,3.22,0.38,11.3,5
,0.35,,6.0,0.063,31.0,,0.99537,3.1,0.47,9.4,4
6.5,0.28,0.28,20.4,,,,1.0002,3.14,,8.7,
6.6,,0.52,,,29.0,140.0,0.99628,,0.4,9.4,3
6.6,,0.21,,0.026,,,,3.22,,,
,0.18,0.41,14.2,0.039,,129.0,,3.28,0.72,10.3,
,0.21,0.37,3.2,0.021,20.0,80.0,0.99076,,,,3
,0.19,0.21,0.95,0.033,89.0,159.0,0.99332,,0.42,8.0,3
,0.24,0.26,1.7,0.033,36.0,,0.99316,3.44,0.51,10.4,5
7.8,,,1.7,0.029,,,0.99272,3.37,0.41,,5
7.0,0.24,,9.0,,42.0,219.0,0.99636,,0.46,,
5.8,,0.0,1.3,0.044,,,0.99202,3.56,0.43,,
5.9,0.445,,1.4,0.027,,109.0,0.99148,3.3,0.36,10.5,
6.7,0.28,,2.4,,36.0,100.0,0.99064,3.26,,11.7,5
6.8,,0.2,16.0,0.065,61.0,,,3.13,0.45,8.6,3
7.2,,0.27,11.4,,40.0,174.0,0.99773,3.2,,9.0,
,,,,0.044,27.0,191.0,1.00013,,,,3
,,0.26,2.1,0.062,26.0,,0.98974,3.1,,12.8,
,0.24,,11.4,,40.0,174.0,,3.2,0.44,9.0,
8.7,,0.73,14.35,,27.0,,,2.96,0.88,,3
7.5,0.13,0.38,1.1,0.023,,,0.99112,3.28,,11.8,
9.2,0.14,0.37,,0.034,36.0,,0.99136,,0.55,11.6,4
7.4,,0.37,,0.028,28.0,89.0,0.99132,3.14,0.61,11.8,4
6.1,0.15,0.35,15.8,,,158.0,,,,10.6,3
,,,,,14.0,91.0,0.99488,,0.8,9.7,3
8.1,0.33,0.22,5.2,0.047,24.0,151.0,0.99527,3.22,,10.3,3
,,,9.6,0.119,56.0,178.0,0.99578,,0.44,,4
6.7,0.12,0.3,,,38.0,113.0,,,0.44,,
5.7,0.18,,1.2,0.046,9.0,,,3.7,0.68,10.9,5
5.8,0.15,0.28,0.8,,43.0,,0.99198,3.24,,,
,0.23,,14.45,0.057,,,0.99756,,0.54,10.2,4
7.15,0.17,0.24,,0.119,56.0,178.0,0.99578,3.15,,10.2,4
7.0,,,6.9,,43.0,162.0,,,0.53,9.5,3
6.4,0.68,0.26,3.4,,25.0,146.0,0.99347,3.18,0.4,9.3,3
,,0.31,2.3,0.018,,80.0,0.98936,3.06,,12.9,5
,0.28,,11.0,0.042,,,0.99786,3.14,0.46,8.7,
,0.4,,5.95,0.081,76.0,303.0,,3.4,0.57,,3
,0.19,0.23,,0.034,71.0,,,3.23,0.69,10.1,3
7.1,0.23,0.24,5.4,0.039,,196.0,,3.19,0.78,,2
6.45,0.14,,,,,129.0,0.99116,,0.69,,5
6.5,,0.44,12.6,0.052,65.0,,,3.26,0.7,10.3,
,,0.34,1.0,0.033,27.0,73.0,0.98974,3.24,0.41,12.2,4
6.7,,0.34,,0.067,35.0,156.0,,3.11,,,4
7.2,0.3,0.26,1.5,0.041,46.0,,0.99154,,0.56,11.3,
7.0,0.23,0.33,1.0,0.043,46.0,110.0,0.99118,3.04,0.65,,4
,0.13,0.25,1.1,0.033,15.0,,,,0.39,11.2,6
6.2,0.21,0.34,6.6,,,,0.9914,,,12.5,
8.3,0.4,0.41,8.2,0.05,15.0,122.0,,3.39,,9.3,
5.9,,0.31,2.0,,38.0,142.0,0.98892,,0.41,12.9,5
6.6,0.12,0.25,1.4,,21.0,131.0,0.99114,,0.45,,5
9.6,0.655,0.21,2.0,,21.0,,,3.0,,12.6,4
,0.26,,7.5,,45.0,179.0,0.99583,3.2,0.49,,3
5.9,0.34,0.31,,0.03,38.0,,0.98892,3.4,,,
,0.3,0.3,2.0,0.03,38.0,,,,0.41,12.9,5
7.0,,,13.3,0.049,46.0,120.0,0.99704,3.2,0.36,,5
7.9,0.37,0.31,,0.037,,24.0,0.9911,3.19,0.36,11.9,4
7.2,0.35,0.25,5.6,0.032,,120.0,0.99334,2.93,0.66,10.3,5
7.2,0.32,0.24,5.6,,,120.0,,2.92,0.66,10.3,
7.6,0.1,0.33,1.0,0.031,,,0.99094,3.06,0.68,11.2,4
6.2,,0.31,3.2,0.03,32.0,150.0,,3.18,,,
7.1,,0.17,1.0,0.042,,144.0,,3.13,,,3
7.6,0.18,0.28,,0.041,29.0,,,,0.42,9.2,4
8.0,0.17,,2.4,0.029,,119.0,,3.03,,12.9,4
7.2,0.19,,11.2,,46.0,149.0,,2.99,0.59,9.3,4
7.6,0.32,0.25,,0.03,,,0.99367,,0.44,12.1,4
7.1,0.31,,1.0,0.042,21.0,144.0,,3.13,0.4,9.6,3
6.6,0.21,,1.8,0.026,35.0,,0.99183,3.37,0.48,11.2,
7.0,,0.36,2.6,0.029,28.0,98.0,0.99126,3.11,,11.2,5
8.0,,0.29,2.4,,,,0.98944,3.03,0.33,12.9,4
6.6,0.24,0.38,8.0,,56.0,187.0,0.99577,3.21,0.46,9.2,
7.2,0.19,0.27,,0.061,46.0,149.0,0.99772,2.99,0.59,9.3,4
7.6,0.18,0.28,7.1,,,,0.99652,3.2,,,4
,0.3,0.25,,0.041,26.0,124.0,,3.18,,9.3,4
6.2,0.28,0.27,10.3,0.03,,108.0,0.99388,,,10.7,
6.9,0.31,0.32,1.2,,20.0,166.0,0.99208,3.05,0.54,,4
6.7,,0.25,,0.036,28.0,,0.99256,3.3,,,4
6.2,0.28,0.27,10.3,,26.0,108.0,0.99388,3.2,0.36,10.7,
5.7,0.23,0.28,,0.025,26.0,,0.9925,3.28,0.38,,
,0.22,,,,36.0,182.0,0.99904,3.02,0.49,,4
7.0,,,1.5,0.043,,104.0,0.99216,,0.5,10.8,3
6.9,0.31,0.32,1.2,0.024,,,0.99208,3.05,,9.8,4
6.9,0.3,0.25,,0.041,,124.0,0.99428,3.18,,9.3,4
6.5,0.46,0.31,5.0,0.027,15.0,72.0,0.99165,3.26,,11.5,5
6.5,,0.36,,0.038,,,,,0.41,8.8,3
6.5,0.23,,16.3,0.038,43.0,133.0,0.99924,,,,
,0.23,,,,,133.0,0.99924,3.26,0.41,8.8,3
,0.26,0.38,6.5,,,,,3.19,0.38,9.4,4
,0.26,0.39,6.4,0.171,64.0,200.0,,3.19,0.38,9.4,4
,0.28,0.39,,0.045,59.0,209.0,0.9972,3.16,,9.6,
6.5,,0.36,,0.038,,,0.99924,3.26,,8.8,3
6.8,0.23,,7.4,,56.0,,0.9958,3.22,,9.3,
,0.25,0.34,13.7,0.044,66.0,184.0,0.99976,3.22,0.75,8.9,3
7.8,0.25,,13.7,0.044,66.0,184.0,0.99976,,,,
5.6,,0.22,1.3,0.049,25.0,155.0,0.99296,3.74,0.43,10.0,3
6.4,0.21,,,,47.0,,0.9957,,0.46,9.1,3
6.8,0.23,0.42,,0.044,,189.0,0.9958,3.22,0.48,,4
6.8,0.24,0.37,7.45,0.043,59.0,188.0,0.99579,3.2,0.5,,4
7.8,0.25,,,0.04,46.0,,0.99541,3.14,,10.1,4
7.8,0.25,0.34,13.7,,66.0,184.0,0.99976,3.22,0.75,,
6.8,0.16,0.29,10.4,0.046,59.0,143.0,,3.2,,,
5.2,0.28,,1.1,0.028,18.0,69.0,,3.24,0.54,10.0,
7.5,0.18,,,0.029,,160.0,0.99276,,,10.9,4
,,,,0.027,,92.0,0.99085,3.15,0.38,12.0,5
8.2,,0.64,13.9,,22.0,171.0,0.99873,2.99,0.8,9.3,3
,0.4,0.27,5.2,,32.0,101.0,0.99172,3.22,,,
7.5,0.26,0.25,1.7,0.038,,129.0,,3.45,0.56,10.4,4
7.5,0.18,0.31,6.5,0.029,53.0,160.0,,,0.38,10.9,4
6.9,,,16.4,0.045,62.0,153.0,0.9972,,0.42,10.5,3
5.3,0.2,,3.6,0.036,22.0,91.0,,,,9.8,
6.5,,0.31,,,34.0,,0.99092,,0.46,10.5,4
6.5,,0.28,12.4,,86.0,,,3.16,,,4
6.5,,0.31,1.7,0.035,24.0,79.0,0.99053,3.27,0.69,11.4,5
6.8,0.3,0.22,6.2,0.06,,190.0,0.99858,3.18,,9.2,
7.9,0.51,0.36,,0.051,,173.0,0.9984,3.09,,9.7,3
7.9,0.51,,,0.049,13.0,,0.99335,3.09,0.51,10.0,3
6.5,0.29,,1.7,0.035,24.0,,,3.27,0.69,,5
7.1,0.29,0.28,9.3,0.048,,141.0,0.9949,3.13,,10.3,
6.5,0.35,,12.4,0.051,86.0,213.0,,3.16,0.51,9.9,
6.5,0.17,0.31,1.5,0.041,34.0,121.0,,3.06,0.46,10.5,
,0.2,0.28,9.1,0.047,29.0,,0.99532,3.16,0.47,,5
,0.615,0.42,,,24.0,131.0,0.99727,,0.34,,3
,0.32,,4.8,0.034,25.0,,0.99026,3.08,0.47,12.4,5
6.3,,0.19,12.3,0.048,54.0,,0.99668,,0.42,9.3,4
6.9,0.615,0.42,12.0,0.067,,,,3.19,,9.3,3
,0.23,0.28,2.7,0.048,49.0,165.0,0.9952,3.26,,,4
6.7,0.27,0.33,3.6,0.034,,,,,0.4,10.5,4
,0.27,,,0.034,,,0.99144,3.08,0.4,,4
6.7,0.44,,4.3,0.032,,99.0,0.99015,,,12.8,5
7.0,0.34,0.3,1.8,0.045,44.0,142.0,0.9914,2.99,0.45,10.8,
,0.26,0.33,11.8,,48.0,127.0,,3.1,0.55,10.0,
5.8,0.17,0.34,,,96.0,170.0,0.99035,3.38,,11.8,6
,,,,0.057,,127.0,,3.1,0.55,10.0,4
5.8,,,1.8,0.045,96.0,170.0,,3.38,0.9,11.8,6
,,0.36,1.4,0.036,38.0,108.0,0.99006,,0.66,,4
7.1,0.43,0.3,6.6,0.025,15.0,,0.99126,3.18,0.46,,4
5.8,,0.27,1.55,0.026,15.0,70.0,,3.37,0.4,11.9,6
5.9,,0.28,,,,28.0,0.98985,3.13,0.32,,
6.6,0.34,0.18,6.4,0.082,47.0,240.0,0.9971,3.42,0.48,9.2,3
8.6,0.33,0.34,11.8,,,,0.99882,,0.52,10.0,4
5.6,0.12,0.26,4.3,0.038,18.0,97.0,0.99477,3.36,0.46,9.2,
5.8,0.13,,5.1,,,103.0,0.99478,3.36,0.47,9.3,4
,,0.35,5.8,0.055,25.0,144.0,,3.24,0.54,,
7.7,0.16,0.36,5.9,0.054,,,0.99578,3.25,0.54,,4
6.0,,0.15,1.3,,51.0,,,,0.51,8.7,3
,0.32,0.35,1.4,0.05,,163.0,0.99244,,0.42,10.7,3
7.7,0.3,0.34,1.2,0.048,4.0,,0.99084,3.18,0.34,12.1,
7.9,0.16,,,0.05,,152.0,0.99612,3.12,0.37,9.5,4
6.4,0.27,0.29,10.8,0.028,17.0,118.0,0.99356,3.18,,,4
,,,1.8,,,,,,,,
7.9,,0.3,7.4,0.05,58.0,152.0,0.99612,3.12,0.37,9.5,4
7.7,0.3,0.34,1.2,0.048,4.0,119.0,0.99084,,0.34,12.1,4
7.3,0.32,,1.4,0.05,8.0,163.0,0.99244,,,10.7,3
6.4,,,14.4,0.048,29.0,228.0,,3.26,,8.8,
6.3,,0.24,1.7,0.052,,135.0,,,0.66,,
,0.29,0.32,3.6,0.026,39.0,138.0,0.9892,,,13.1,
7.6,0.39,0.32,3.6,0.035,22.0,93.0,0.99144,3.08,0.6,,
7.0,0.36,0.32,10.05,,37.0,131.0,0.99352,3.09,0.33,,6
7.0,,0.32,10.05,,,131.0,0.99352,3.09,0.33,11.7,
7.0,0.36,0.32,,0.045,35.0,,0.9935,,0.33,11.6,6
7.6,0.2,0.36,1.9,0.043,24.0,111.0,,3.29,0.54,11.3,4
7.6,0.39,0.32,3.6,0.035,22.0,93.0,0.99144,3.08,0.6,,5
6.7,0.2,0.37,1.65,0.025,42.0,103.0,0.99022,,0.45,11.4,
6.2,0.235,,1.9,,4.0,117.0,0.99032,3.4,0.44,12.2,3
,0.965,,65.8,0.074,8.0,,1.03898,3.39,0.69,11.7,4
,0.2,,6.85,0.053,,,,,0.59,,4
7.1,0.2,0.31,,0.053,32.0,211.0,0.99587,,0.59,10.4,4
7.1,,0.31,,,32.0,211.0,0.99587,3.31,,10.4,4
,0.24,0.25,20.2,0.083,,157.0,,,0.5,,
,0.3,0.36,11.0,,8.0,,0.99354,3.05,0.41,,4
,,0.25,20.2,0.083,35.0,,0.99976,3.17,0.5,9.1,3
6.9,,0.42,,0.066,,176.0,0.99552,3.12,0.54,,3
6.9,,,,,,,,,0.53,9.4,3
,,0.31,6.85,0.053,32.0,211.0,0.99587,,0.59,,
,0.25,0.51,,0.047,,189.0,0.99604,3.22,0.49,,3
6.8,0.26,0.44,8.2,,52.0,183.0,,,0.51,9.4,3
6.5,0.37,0.3,2.2,0.033,39.0,,0.98894,,0.53,13.5,5
,0.35,,,0.053,37.0,,0.9963,3.07,0.4,,3
6.4,0.22,0.32,7.2,,15.0,83.0,0.993,,0.55,,6
6.5,0.37,,2.2,0.033,,107.0,0.98894,3.22,0.53,,
,0.35,,10.1,0.053,37.0,151.0,0.9963,,0.4,9.4,
6.9,0.31,,1.6,,34.0,114.0,,,,11.4,
6.7,0.16,,1.3,,,125.0,,3.19,0.51,12.4,5
,0.25,0.51,,0.047,61.0,189.0,0.99604,3.22,0.49,9.2,
,,0.44,8.2,0.046,52.0,,,3.2,0.51,9.4,3
5.6,,,5.3,,8.0,,0.9923,3.3,0.39,10.5,4
5.5,,,,0.031,16.0,,,3.26,0.38,11.5,
6.4,,0.32,7.2,,15.0,83.0,,,,,6
7.3,,0.26,1.6,0.04,,,0.99238,,0.44,10.8,4
7.5,0.17,0.71,,0.038,,,0.99801,3.03,0.46,8.9,3
7.5,0.18,0.72,9.6,,,151.0,0.99802,3.03,,8.9,3
7.0,,,,0.042,60.0,184.0,,3.2,0.5,9.4,
5.8,0.32,0.31,2.7,,25.0,,,,0.73,12.2,
,,0.31,,,22.0,100.0,0.99066,2.99,0.47,12.1,5
7.4,0.3,0.32,1.7,0.03,23.0,128.0,0.9929,3.17,0.66,10.9,3
,,0.34,1.6,,27.0,109.0,,3.34,0.58,,
5.8,0.32,0.31,2.7,0.049,25.0,153.0,0.99067,3.44,0.73,12.2,5
,0.19,0.39,1.0,0.032,14.0,71.0,0.98912,,,,
6.6,0.36,0.24,0.9,0.038,,72.0,0.99066,3.23,,11.0,3
7.2,0.17,0.41,1.6,,24.0,126.0,0.99228,3.19,,10.8,
6.7,,0.39,,,14.0,71.0,0.98912,3.31,0.38,13.0,5
6.0,0.11,0.47,10.6,0.052,69.0,148.0,0.9958,2.91,0.34,9.3,
6.0,0.21,0.34,2.0,0.042,,,,3.44,0.42,11.4,
6.7,0.325,,1.2,,49.0,120.0,,2.99,0.38,,3
6.6,,,6.2,0.056,,241.0,,3.5,0.6,9.9,3
6.5,,0.24,,0.044,,150.0,,3.22,0.44,10.5,
7.6,,0.34,5.0,0.04,18.0,56.0,0.99084,3.06,0.48,12.4,4
7.2,,0.4,6.3,,,172.0,,,0.53,9.5,4
6.3,,0.22,,0.048,41.0,,,3.16,0.5,10.5,4
6.5,0.22,0.45,8.0,,,,0.9959,3.23,0.48,,
,0.14,0.31,1.2,0.034,,138.0,,3.38,0.35,11.5,5
6.4,,,,,,,0.99084,,,11.5,5
7.1,0.26,,16.2,0.044,31.0,170.0,0.99644,,0.37,11.2,3
6.6,0.22,0.34,11.6,0.05,59.0,140.0,,3.22,0.4,10.8,3
6.6,0.45,,,,31.0,186.0,0.9954,,,,3
,,0.3,,0.031,13.0,73.0,0.99095,3.17,,,4
,0.44,,,0.048,22.0,112.0,,3.21,0.37,11.3,5
6.2,0.15,,1.4,0.041,51.0,117.0,0.9909,,0.38,11.2,4
,,,,0.048,41.0,161.0,,3.16,,,4
6.5,0.22,,8.0,0.053,52.0,,0.9959,3.23,0.48,9.1,4
7.3,0.26,0.3,9.3,0.05,35.0,154.0,,3.21,,10.4,4
6.9,,,2.3,,,82.0,0.99132,3.1,0.58,11.2,
5.8,0.22,0.29,,0.034,,89.0,0.98936,3.14,,11.1,5
6.5,0.37,0.33,,0.036,,92.0,,3.18,0.38,,
5.5,,0.38,1.7,0.036,,98.0,0.99142,3.29,0.39,,4
5.9,0.2,,,,23.0,92.0,0.99232,3.2,0.45,10.0,4
5.9,0.22,0.38,1.3,0.046,24.0,90.0,0.99232,3.2,0.47,10.0,4
8.0,,0.31,5.6,0.049,,,,3.1,0.42,10.9,3
,0.22,,7.4,,16.0,87.0,0.99311,,0.56,10.9,5
6.9,,0.29,2.3,0.033,14.0,82.0,0.99132,,0.58,11.2,
5.8,0.2,0.34,,0.035,40.0,86.0,0.98993,3.5,,11.7,3
,0.31,0.07,1.5,0.033,,,0.99208,3.16,0.42,,
7.7,,0.37,10.0,0.169,22.0,210.0,,3.02,0.64,9.5,3
,0.24,,,,55.0,,0.99839,3.03,0.52,9.0,3
,0.23,,,0.052,,86.0,,3.04,0.56,10.0,
7.9,0.2,0.39,1.0,,37.0,154.0,,3.08,0.43,11.9,
5.3,0.16,0.39,1.0,,40.0,101.0,0.99156,3.57,0.59,,4
6.4,0.21,0.28,5.9,,29.0,101.0,0.99278,3.15,0.4,,4
6.9,0.33,0.26,5.0,0.027,46.0,,,3.25,,11.2,5
5.6,0.18,,,0.034,29.0,129.0,0.98984,3.51,,,5
6.6,0.29,,3.9,0.027,39.0,96.0,0.99035,,0.6,12.6,6
6.9,0.33,0.26,5.0,0.027,46.0,143.0,,,0.43,,5
6.6,,,0.8,0.034,,113.0,0.99165,,,10.5,
,0.21,0.33,,0.037,,144.0,0.9923,,0.52,10.2,4
6.4,,0.28,5.9,0.047,29.0,101.0,0.99278,3.15,0.4,,4
5.1,0.11,0.32,1.6,0.028,12.0,90.0,0.99008,,,12.2,4
6.5,0.15,,1.3,0.036,19.0,76.0,0.98964,3.18,,12.3,4
5.3,0.16,0.39,1.0,0.028,,101.0,0.99156,,0.59,,4
,0.19,0.46,,0.032,33.0,,,3.36,0.5,10.4,4
5.6,0.18,,1.25,0.034,29.0,129.0,0.98984,,0.6,12.0,5
6.7,0.48,0.32,1.4,0.021,22.0,121.0,0.9889,,0.53,,
6.2,,0.23,1.2,0.018,,128.0,,3.05,0.28,10.6,3
6.0,0.17,0.29,,0.028,25.0,108.0,0.99076,3.14,0.34,,
6.7,0.48,0.32,,0.021,22.0,121.0,,3.15,0.53,12.7,5
,0.15,0.38,1.7,,20.0,,0.99046,,0.53,,4
4.2,,0.36,,0.029,93.0,161.0,,3.65,0.89,,
5.8,0.21,0.32,1.6,0.045,38.0,95.0,,3.23,,12.4,6
5.4,0.23,0.36,,,,121.0,0.98976,3.24,0.99,12.1,5
6.7,0.15,0.38,1.7,0.037,,84.0,0.99046,,,11.4,
,,,13.9,,57.0,135.0,0.99672,3.21,0.38,10.7,
6.5,0.15,0.55,5.9,0.045,75.0,162.0,0.99482,2.97,0.4,,3
,,0.33,2.1,,35.0,,0.98945,3.37,,,4
,0.37,,,,24.0,88.0,0.98883,3.18,0.39,11.7,4
,0.25,0.35,6.7,,22.0,64.0,0.99362,2.93,,10.7,
,,0.28,2.7,0.033,38.0,94.0,0.99075,2.99,,11.8,5
7.0,0.24,0.3,6.7,0.039,37.0,125.0,0.99436,,0.39,9.9,3
6.8,,,,0.047,16.0,,0.98988,3.23,,13.4,
,,,7.75,0.032,,114.0,0.99158,3.12,0.64,12.8,5
6.9,,0.3,10.6,0.033,24.0,87.0,,3.15,0.45,,4
,0.41,,1.6,,18.0,101.0,0.99195,,0.41,10.5,3
6.4,0.2,,,0.032,24.0,84.0,0.99168,3.31,,,3
8.5,,,0.7,,5.0,25.0,0.9918,3.04,0.37,,2
,,0.36,,0.032,21.0,132.0,0.99313,2.95,0.39,13.0,4
5.2,,,5.15,0.035,,,,3.19,0.34,,
6.9,,0.3,4.7,0.041,40.0,,,,,10.2,
6.7,0.42,,,0.054,67.0,234.0,0.99848,3.23,0.5,,3
6.2,0.16,,1.7,0.038,85.0,,,3.33,0.86,12.0,5
6.4,0.125,,1.4,0.044,22.0,68.0,0.99014,,0.5,11.7,5
,,0.26,,0.054,,,0.9952,3.58,0.57,10.0,3
7.0,0.31,0.39,7.5,0.055,42.0,,0.99652,3.37,,10.3,3
6.7,0.42,,9.7,0.054,67.0,234.0,,3.23,,9.0,
,,,0.8,,25.0,78.0,0.99104,,0.38,,3
6.2,0.21,0.26,13.1,0.05,,150.0,0.99772,3.31,0.46,9.0,
6.1,0.16,0.37,1.1,,37.0,97.0,0.9922,3.4,0.58,10.5,4
6.5,0.22,0.32,,0.028,36.0,,,,0.59,11.9,5
6.2,0.36,0.14,,,38.0,155.0,0.99622,3.27,0.5,,3
5.7,0.21,0.25,,0.035,26.0,81.0,0.9902,3.31,,11.4,4
,,0.32,0.9,,40.0,114.0,,3.31,,10.8,5
7.6,,0.26,1.7,,40.0,157.0,0.9938,,0.46,9.8,3
,0.26,0.46,6.9,,,,,3.2,,,3
5.7,,,1.1,0.035,,81.0,,,0.52,11.4,4
6.2,0.2,,1.0,,22.0,73.0,0.99035,3.24,0.52,11.3,4
,0.18,0.3,1.0,0.031,23.0,,0.99032,3.23,,,4
,0.37,0.2,7.6,0.031,,170.0,0.99558,,,9.5,3
6.2,0.36,,,,38.0,,,3.27,0.5,9.4,3
6.5,0.22,0.32,,0.028,36.0,92.0,,3.27,0.59,11.9,5
7.7,0.18,,,,,199.0,0.99413,3.03,0.38,,3
,,0.38,1.0,0.041,22.0,,0.99043,3.03,,,4
6.9,0.14,0.38,,0.041,22.0,,,,0.54,11.4,
6.0,0.44,0.26,3.1,0.053,,,0.98982,3.22,,12.7,
7.1,,0.4,1.95,0.033,26.0,118.0,,3.2,0.45,,
5.7,,0.28,2.2,,,65.0,,3.06,0.52,11.2,4
6.4,0.16,0.32,,0.038,,118.0,0.99449,,0.41,10.7,3
7.4,0.28,0.4,,,13.0,92.0,0.99629,3.01,0.46,10.8,
6.7,,0.31,,0.054,,,0.9948,3.46,0.57,10.5,4
6.5,0.44,0.47,5.45,0.014,,,0.98984,3.13,0.32,13.0,6
6.9,0.22,,,,41.0,131.0,0.99326,3.08,0.49,,4
6.6,0.22,0.29,14.4,,39.0,118.0,0.99834,3.05,0.5,9.1,4
7.7,,,,0.038,67.0,196.0,0.99555,3.1,0.5,10.1,
5.2,0.155,,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,,
7.0,,0.31,,0.036,45.0,140.0,0.99216,2.98,,12.0,5
,0.31,0.31,9.1,0.036,45.0,140.0,0.99216,2.98,0.31,,5
6.6,0.22,0.29,14.4,0.046,,118.0,0.99834,3.05,0.5,,
5.6,,0.4,1.3,0.041,,147.0,0.9901,3.22,0.95,11.6,6
5.2,0.155,0.33,1.6,0.028,13.0,,0.98975,,0.84,,6
,0.25,0.32,11.3,,69.0,,,3.14,0.5,10.2,4
,0.22,0.31,6.3,0.029,41.0,131.0,,,0.49,10.8,4
5.3,,0.29,,0.028,11.0,66.0,0.99215,,,9.8,3
7.1,0.27,0.28,1.25,0.023,,89.0,0.98993,,,,2
5.2,0.17,0.27,,0.03,,68.0,0.99218,,0.41,,3
,,0.3,,,67.0,196.0,,3.1,0.5,10.1,3
7.0,0.12,0.29,10.3,0.039,41.0,98.0,,3.19,0.38,9.8,
7.0,,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,6
7.1,,0.34,,0.036,49.0,,0.99397,3.21,0.4,10.7,4
7.2,0.3,0.3,8.7,0.022,14.0,111.0,0.99576,,0.61,10.6,3
6.8,0.26,0.46,8.3,,49.0,173.0,0.99601,3.17,,9.3,3
,0.12,,10.3,0.039,,,0.99564,3.19,0.38,,6
7.1,0.29,0.34,7.8,,,128.0,0.99397,,,,4
4.9,0.33,0.31,1.2,0.016,39.0,,0.98713,,,14.0,
5.1,0.29,,8.3,0.026,27.0,107.0,,3.36,0.37,11.0,4
5.1,0.29,0.28,8.3,0.026,,107.0,,3.36,0.37,11.0,
6.8,,0.48,6.2,0.049,55.0,,0.99582,3.21,,,
6.0,,,,,30.0,139.0,,3.1,,9.0,4
6.0,0.28,,1.8,0.042,,108.0,,3.08,0.55,9.0,3
7.2,0.2,0.22,,0.044,17.0,101.0,,,,,3
,0.27,0.25,,,9.0,109.0,,3.08,0.54,9.0,3
6.0,,,1.8,,,108.0,,3.08,0.55,9.0,
6.4,,0.3,2.9,0.036,25.0,79.0,,3.29,0.6,12.4,5
7.4,0.35,0.24,6.0,,28.0,123.0,0.99304,3.14,,11.3,3
8.1,0.12,,0.9,0.034,36.0,86.0,,,0.55,12.0,
6.4,0.12,0.3,1.1,0.031,,,,3.01,0.56,,4
,0.2,0.22,1.6,0.044,17.0,101.0,0.99471,3.37,,,
7.3,0.4,0.26,5.45,,,90.0,0.98951,2.84,0.54,13.2,5
7.7,,0.34,14.05,,,114.0,0.99634,3.07,0.59,11.0,5
6.9,0.23,,8.0,0.03,30.0,114.0,,3.22,,11.0,
6.9,0.38,0.38,13.1,0.112,14.0,,0.99792,3.02,0.48,9.2,3
7.5,0.38,0.29,4.9,0.021,38.0,113.0,0.99026,3.08,,,5
5.8,0.19,0.24,1.3,0.044,38.0,,0.99362,3.77,,,
5.5,0.34,,2.2,0.021,31.0,119.0,0.98919,,,13.0,6
6.6,0.23,0.3,,0.051,33.0,118.0,0.99835,3.04,0.54,9.0,4
6.6,,0.3,,0.051,,118.0,0.99835,3.04,0.54,9.0,4
8.4,,0.31,,0.021,52.0,,,2.93,,11.5,3
6.7,,0.3,,0.025,17.0,76.0,0.99104,3.11,0.44,11.0,
8.4,0.31,0.31,,0.021,52.0,148.0,0.99038,,0.32,11.5,3
,,0.24,1.7,0.05,10.0,112.0,0.99286,,0.43,,
6.3,,0.22,5.6,0.039,31.0,128.0,0.99296,3.12,0.46,10.4,4
6.6,0.23,0.3,14.9,0.051,33.0,,,3.04,0.54,9.0,4
7.5,0.19,0.4,7.1,0.056,50.0,,0.9954,3.06,0.52,9.9,
,0.14,0.33,1.2,,,162.0,0.9914,3.07,,11.0,4
6.8,,0.39,9.6,,34.0,,0.99286,,0.35,12.1,
6.6,,0.2,,0.044,,131.0,0.99604,2.96,,9.7,4
6.6,,,11.4,0.044,45.0,131.0,,2.96,0.51,9.7,4
6.7,,,7.9,,,123.0,,,0.3,,
6.1,0.38,,5.0,0.016,31.0,113.0,,3.15,,12.4,5
,0.23,0.28,11.1,,30.0,97.0,0.99507,,0.39,10.5,5
7.0,,0.31,,0.05,29.0,213.0,,3.28,0.57,10.4,4
6.0,0.26,,,0.029,48.0,,0.99011,3.15,0.34,12.0,4
6.9,,,10.55,,4.0,,0.99184,3.07,0.32,,
6.7,0.18,0.28,,,29.0,115.0,0.99469,,0.45,10.9,5
6.7,0.18,0.28,10.2,0.039,,115.0,,,0.45,10.9,5
6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,,10.9,5
7.2,0.19,,6.3,0.034,17.0,103.0,,,0.52,11.4,
6.2,0.16,0.32,1.1,,,184.0,0.99096,3.22,0.41,,4
5.0,0.27,,4.5,0.032,58.0,178.0,,3.45,0.31,12.6,5
6.3,0.37,,,0.034,45.0,152.0,0.9921,3.29,,11.6,5
6.6,,0.27,10.9,,29.0,130.0,,3.11,0.44,10.5,
,0.18,0.28,9.8,0.039,29.0,,0.99406,3.11,0.45,10.9,
6.8,,,9.8,0.039,,,0.99406,3.11,,10.9,5
